## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 2.0E-5
## Max consecutive selection count = 5
110:0.2915618381131644 123:0.2828805115645771 123:0.27288768169957595 109:0.2684292392688204 64:0.26240109907473586 64:0.2558406150109273 64:0.24965735747794104 135:0.244421912632384 64:0.23983637478882355 134:0.3000359442571954 134:0.2916332306447639 134:0.2832409789356516 134:0.27504666467130634 134:0.267137185828493 134:0.25955053535427774 134:0.2523108645536584 134:0.24542293299430243 134:0.23886606950119238 134:0.23263572788541448 134:0.2266932093955241 134:0.2210446709298147 134:0.21568088565852048 134:0.21058778264309952 134:0.20574320126952783 134:0.20113436463769876 134:0.19674887939785385 134:0.19256588893784565 134:0.1885786105268857 134:0.18477697724861492 134:0.18114953300940825 134:0.17768696387330105 134:0.17437871645720365 134:0.17121877722747258 134:0.1681962468256147 134:0.16530379786514304 134:0.16253346613948258 134:0.15987604218491488 134:0.15732826756675408 134:0.15488322319651812 134:0.15253475257354587 134:0.1502791528407814 134:0.14810981931943012 134:0.14602047599206033 134:0.14400821028471042 134:0.1420675169966859 112:0.14058637842253172 112:0.13919994788701318
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 2.0E-5
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | ERR@10-T  | ERR@10-V  | Status    | 
--------------------------------------------------------
1       | 134      | 0.282     | 0.2939    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 135      | 0.2178    | 0.2177    | OK        | 
4       | 135      |           |           | ROLLBACK  | 
5       | 49       | 0.1964    | 0.1975    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.1964    | 0.1975    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 124      | 0.1931    | 0.1964    | OK        | 
10      | 112      | 0.2044    | 0.2093    | OK        | 
11      | 117      | 0.2076    | 0.2135    | OK        | 
12      | 117      |           |           | ROLLBACK  | 
13      | 112      | 0.2049    | 0.2127    | OK        | 
14      | 112      |           |           | ROLLBACK  | 
15      | 124      | 0.2041    | 0.2092    | DAMN      | 
15      | 112      | 0.2049    | 0.2127    | OK        | 
16      | 112      | 0.2038    | 0.2122    | DAMN      | 
16      | 117      | 0.2066    | 0.214     | OK        | 
17      | 109      | 0.2091    | 0.2151    | OK        | 
18      | 117      | 0.2103    | 0.2161    | OK        | 
19      | 117      | 0.2114    | 0.2174    | OK        | 
20      | 117      | 0.2117    | 0.2183    | OK        | 
21      | 117      | 0.2123    | 0.2187    | OK        | 
22      | 117      | 0.2122    | 0.2196    | DAMN      | 
22      | 64       | 0.2122    | 0.2187    | DAMN      | 
22      | 49       | 0.2122    | 0.2189    | DAMN      | 
22      | 135      | 0.2344    | 0.2365    | OK        | 
23      | 135      | 0.2315    | 0.2334    | DAMN      | 
23      | 134      | 0.2566    | 0.2635    | OK        | 
24      | 134      | 0.2627    | 0.2686    | OK        | 
25      | 134      | 0.2665    | 0.2723    | OK        | 
26      | 134      | 0.269     | 0.2754    | OK        | 
27      | 134      | 0.271     | 0.2779    | OK        | 
