## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 2.0E-5
## Max consecutive selection count = 5
110:0.2915618381131644 123:0.2828805115645771 123:0.27288768169957595 109:0.2684292392688204 64:0.26240109907473586 64:0.2558406150109273 64:0.24965735747794104 135:0.244421912632384 64:0.23983637478882355 134:0.3000359442571954 134:0.2916332306447639 134:0.2832409789356516 134:0.27504666467130634 134:0.267137185828493 134:0.25955053535427774 134:0.2523108645536584 134:0.24542293299430243 134:0.23886606950119238 134:0.23263572788541448 134:0.2266932093955241 134:0.2210446709298147 134:0.21568088565852048 134:0.21058778264309952 134:0.20574320126952783 134:0.20113436463769876 134:0.19674887939785385 134:0.19256588893784565 134:0.1885786105268857 134:0.18477697724861492 134:0.18114953300940825 134:0.17768696387330105 134:0.17437871645720365 134:0.17121877722747258 134:0.1681962468256147 134:0.16530379786514304 134:0.16253346613948258 134:0.15987604218491488 134:0.15732826756675408 134:0.15488322319651812 134:0.15253475257354587 134:0.1502791528407814 134:0.14810981931943012 134:0.14602047599206033 134:0.14400821028471042 134:0.1420675169966859 112:0.14058637842253172 112:0.13919994788701318
[+] AdaRank's Parameters:
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 2.0E-5
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    | 
--------------------------------------------------------
1       | 134      | 0.3204    | 0.3276    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 110      | 0.2835    | 0.2885    | OK        | 
4       | 123      | 0.2999    | 0.3058    | OK        | 
5       | 49       | 0.3003    | 0.3064    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.3002    | 0.3062    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 109      | 0.3046    | 0.3134    | OK        | 
10      | 109      |           |           | ROLLBACK  | 
11      | 123      | 0.3       | 0.3051    | OK        | 
12      | 124      | 0.2946    | 0.3048    | DAMN      | 
12      | 109      | 0.3049    | 0.314     | OK        | 
13      | 109      | 0.3044    | 0.3115    | DAMN      | 
13      | 64       | 0.305     | 0.314     | OK        | 
14      | 64       | 0.3051    | 0.3142    | OK        | 
15      | 64       | 0.3053    | 0.3142    | OK        | 
16      | 135      | 0.322     | 0.3228    | OK        | 
17      | 64       | 0.322     | 0.3227    | OK        | 
18      | 64       | 0.322     | 0.3228    | DAMN      | 
18      | 49       | 0.322     | 0.3228    | DAMN      | 
18      | 134      | 0.345     | 0.3467    | OK        | 
19      | 134      | 0.3498    | 0.3525    | OK        | 
20      | 134      | 0.3532    | 0.3555    | OK        | 
21      | 134      | 0.3552    | 0.3579    | OK        | 
22      | 134      | 0.3565    | 0.3594    | OK        | 
23      | 134      | 0.3576    | 0.3603    | OK        | 
24      | 134      | 0.3584    | 0.3618    | OK        | 
25      | 134      | 0.3591    | 0.3629    | OK        | 
26      | 134      | 0.3598    | 0.3636    | OK        | 
27      | 134      | 0.3606    | 0.3642    | OK        | 
28      | 134      | 0.3612    | 0.3648    | OK        | 
29      | 134      | 0.3616    | 0.3653    | OK        | 
30      | 134      | 0.3619    | 0.3658    | OK        | 
31      | 134      | 0.3623    | 0.3663    | OK        | 
32      | 134      | 0.3627    | 0.3666    | OK        | 
33      | 134      | 0.363     | 0.367     | OK        | 
34      | 134      | 0.3634    | 0.3672    | OK        | 
35      | 134      | 0.3638    | 0.3676    | OK        | 
36      | 134      | 0.364     | 0.3677    | OK        | 
37      | 134      | 0.3642    | 0.368     | OK        | 
38      | 134      | 0.3644    | 0.3682    | OK        | 
39      | 134      | 0.3647    | 0.3685    | OK        | 
40      | 134      | 0.3648    | 0.3688    | OK        | 
41      | 134      | 0.3651    | 0.3689    | OK        | 
42      | 134      | 0.3653    | 0.369     | OK        | 
43      | 134      | 0.3654    | 0.3691    | OK        | 
44      | 134      | 0.3656    | 0.3691    | OK        | 
45      | 134      | 0.3657    | 0.3692    | OK        | 
46      | 134      | 0.3659    | 0.3693    | OK        | 
47      | 134      | 0.366     | 0.3694    | OK        | 
48      | 134      | 0.3661    | 0.3697    | OK        | 
49      | 134      | 0.3662    | 0.3697    | OK        | 
50      | 134      | 0.3663    | 0.3699    | OK        | 
51      | 134      | 0.3665    | 0.3701    | OK        | 
52      | 134      | 0.3667    | 0.3704    | OK        | 
53      | 134      | 0.3667    | 0.3707    | OK        | 
54      | 112      | 0.3679    | 0.3717    | OK        | 
55      | 112      | 0.3682    | 0.3726    | OK        | 
56      | 112      | 0.3683    | 0.3724    | OK        | 
57      | 112      | 0.3684    | 0.3722    | OK        | 
58      | 112      | 0.3682    | 0.3725    | DAMN      | 
--------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3682
NDCG@10 on validation data: 0.3726
---------------------------------
NDCG@10 on test data: 0.3636
