## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 2.0E-4
## Max consecutive selection count = 5
124:0.1958761210609341 112:0.19082352699567282 112:0.18756094853542166 117:0.18442230081713953 109:0.18109632641904555 117:0.17835303234846306 117:0.17561195457479364 117:0.172833790799338 117:0.17008306761699074 117:0.16735882823912512 117:0.16469007814251643 64:0.16367974322816914 64:0.16128756273083672 64:0.15898541956147405 123:0.1571350537868325 123:0.15573774445142397 135:0.18527291664017265 134:0.23362622816387368 134:0.22287988754764104 134:0.21307512035138845 134:0.20430351179053186 134:0.19643044060743664 134:0.18932031431543486 134:0.1829248066365972 134:0.17712878832134912 134:0.17184482885805202 134:0.16701463712089212 134:0.16257818782541447 134:0.15848525863133264 134:0.15469764766267594 134:0.15117219818796945 134:0.14789385087724272 134:0.14482616545304308 134:0.14194417820661895 134:0.1392241758963024 134:0.136655662181634 134:0.13423225041694598 134:0.1319433233847666 134:0.12977196040458075 134:0.12770694308499903 134:0.12573577721236645 134:0.1238594985340047 134:0.12207021720340999 134:0.12036031883231822 134:0.1187239838022334 134:0.11715271352965764 134:0.11564316840947095 134:0.11419109643656766 134:0.11279178568518847 113:0.11197472785698724 113:0.1112114698438277 113:0.11044941032944988 113:0.10968685808333198 113:0.10891970815274446 113:0.10815190115086862 113:0.10738627690583895 113:0.10662716462222738 113:0.10587222886192092 113:0.10512469833954144 113:0.10438497848999927 113:0.10365421316431149 113:0.10292648371798532 113:0.10220682730554383 113:0.10149396581051041 113:0.10078935950907732 110:0.10016733431205671 110:0.09952809639725628 110:0.09889324503787134 110:0.09826339668646725 110:0.09764208487494151 110:0.09702796710631999

[+] AdaRank's Parameters:
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 2.0E-4
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | ERR@10-T  | ERR@10-V  | Status    | 
--------------------------------------------------------
1       | 134      | 0.282     | 0.2939    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 135      | 0.2178    | 0.2177    | OK        | 
4       | 135      |           |           | ROLLBACK  | 
5       | 49       | 0.1964    | 0.1975    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.1964    | 0.1975    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 124      | 0.1931    | 0.1964    | OK        | 
10      | 112      | 0.2044    | 0.2093    | OK        | 
11      | 117      | 0.2076    | 0.2135    | OK        | 
12      | 117      |           |           | ROLLBACK  | 
13      | 112      | 0.2049    | 0.2127    | OK        | 
14      | 112      |           |           | ROLLBACK  | 
15      | 124      | 0.2041    | 0.2092    | DAMN      | 
15      | 112      | 0.2049    | 0.2127    | OK        | 
16      | 112      | 0.2038    | 0.2122    | DAMN      | 
16      | 117      | 0.2066    | 0.214     | OK        | 
17      | 109      | 0.2091    | 0.2151    | OK        | 
18      | 117      | 0.2103    | 0.2161    | OK        | 
19      | 117      | 0.2114    | 0.2174    | OK        | 
20      | 117      | 0.2117    | 0.2183    | OK        | 
21      | 117      | 0.2123    | 0.2187    | OK        | 
22      | 117      | 0.2122    | 0.2196    | OK        | 
23      | 117      | 0.2122    | 0.2207    | OK        | 
24      | 130      | 0.1876    | 0.1893    | DAMN      | 
24      | 64       | 0.2121    | 0.2206    | OK        | 
25      | 64       | 0.212     | 0.2206    | OK        | 
26      | 64       | 0.2121    | 0.2204    | OK        | 
27      | 123      | 0.2136    | 0.2222    | OK        | 
28      | 123      | 0.2135    | 0.2229    | OK        | 
29      | 123      | 0.212     | 0.2221    | DAMN      | 
29      | 123      | 0.212     | 0.2221    | DAMN      | 
29      | 135      | 0.2405    | 0.2435    | OK        | 
30      | 135      | 0.2373    | 0.2403    | DAMN      | 
30      | 134      | 0.2622    | 0.2691    | OK        | 
31      | 134      | 0.268     | 0.2744    | OK        | 
32      | 134      | 0.2717    | 0.2778    | OK        | 
33      | 134      | 0.2742    | 0.2812    | OK        | 
34      | 134      | 0.2761    | 0.2831    | OK        | 
35      | 134      | 0.2773    | 0.2844    | OK        | 
36      | 134      | 0.2786    | 0.286     | OK        | 
37      | 134      | 0.2794    | 0.2866    | OK        | 
