## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 0.002
## Max consecutive selection count = 5
124:0.1958761210609341 112:0.19082352699567282 124:0.1866181760260526 112:0.18471101681544844 112:0.18169004996402877 112:0.17850794062053965 112:0.1753437150174828 109:0.1728328093865379 109:0.16996129947301014 112:0.16720596935464152 117:0.1662367246819088 117:0.16391721182752214 64:0.16233206514190648 135:0.1919431756866904 134:0.2416743141931105 134:0.23028966943892745 134:0.21995350553236415 134:0.21070895120246846 134:0.20246623391159577 134:0.1950482963669216 134:0.1883763231183845 134:0.18234905109534322 134:0.17686397034229814 134:0.1718558222220739 134:0.16725620330468563 134:0.1630154444726905 134:0.15908630274111518 134:0.1554370966173776 134:0.15202993948546473 134:0.1488454726661898 134:0.14585928273307125 134:0.14302930749825585 134:0.1403625293925445 134:0.13785084928355973 134:0.13547989258031715 134:0.13323405692799709 134:0.13109582341277162 134:0.1290574555246995 134:0.12711526715194285 134:0.1252606406228067 134:0.12348839768047253 113:0.12218245939498627 113:0.12136532313316585 113:0.12054819814301262 113:0.11970956839818352 113:0.11885173334891959 113:0.11798114436166456 113:0.11711127194067633 113:0.11622424219917293 113:0.11534457874416552 113:0.11446470200789276 113:0.11359222891828143 113:0.11271500786980411 113:0.1118467854921791 113:0.11098601962004843 113:0.11013697141872338 113:0.10930092011468917 113:0.10846695850366139 113:0.10764718554078766 113:0.10683500629665829 113:0.10603495902219107 113:0.10524973717660308 113:0.10447717181514733 113:0.10371254741898522 113:0.10295966318080643 113:0.1022185517346772 113:0.10148670690334048 113:0.10076585790678912 113:0.1000560947343145 113:0.09935745963843344 110:0.09867504671690724 110:0.09804823716257453 110:0.09742597157904392 110:0.09681020084632463 110:0.0962017500878631 110:0.09560141460366026 110:0.0950087244179704 110:0.09442270901736236 110:0.09384207211645428 110:0.09326629530863209 110:0.09269867572050833
[+] AdaRank's Parameters:
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | ERR@10-T  | ERR@10-V  | Status    | 
--------------------------------------------------------
1       | 134      | 0.282     | 0.2939    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 135      | 0.2178    | 0.2177    | OK        | 
4       | 135      |           |           | ROLLBACK  | 
5       | 49       | 0.1964    | 0.1975    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.1964    | 0.1975    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 124      | 0.1931    | 0.1964    | OK        | 
10      | 112      | 0.2044    | 0.2093    | OK        | 
11      | 117      | 0.2076    | 0.2135    | OK        | 
12      | 117      |           |           | ROLLBACK  | 
13      | 112      | 0.2049    | 0.2127    | OK        | 
14      | 112      |           |           | ROLLBACK  | 
15      | 124      | 0.2041    | 0.2092    | OK        | 
16      | 109      | 0.2016    | 0.2078    | DAMN      | 
16      | 112      | 0.2044    | 0.2095    | OK        | 
17      | 112      | 0.2052    | 0.2126    | OK        | 
18      | 112      | 0.2051    | 0.2128    | OK        | 
19      | 112      | 0.2044    | 0.2122    | OK        | 
20      | 109      | 0.2089    | 0.2169    | OK        | 
21      | 109      | 0.2079    | 0.2129    | OK        | 
22      | 112      | 0.2085    | 0.2151    | OK        | 
23      | 130      | 0.1898    | 0.192     | DAMN      | 
23      | 117      | 0.2096    | 0.2172    | OK        | 
24      | 117      | 0.2097    | 0.2181    | OK        | 
25      | 130      | 0.1897    | 0.1912    | DAMN      | 
25      | 64       | 0.2098    | 0.218     | OK        | 
26      | 130      | 0.1898    | 0.1913    | DAMN      | 
26      | 130      | 0.1898    | 0.1913    | DAMN      | 
26      | 135      | 0.2382    | 0.2406    | OK        | 
27      | 135      | 0.2348    | 0.2373    | DAMN      | 
27      | 134      | 0.2593    | 0.2652    | OK        | 
28      | 134      | 0.265     | 0.2711    | OK        | 
29      | 134      | 0.2692    | 0.2748    | OK        | 
30      | 134      | 0.2713    | 0.2774    | OK        | 
31      | 134      | 0.2732    | 0.2795    | OK        | 
32      | 134      | 0.2745    | 0.2817    | OK        | 
33      | 134      | 0.2756    | 0.2828    | OK        | 
34      | 134      | 0.2765    | 0.2842    | OK        | 
35      | 134      | 0.2772    | 0.2845    | OK        | 
36      | 134      | 0.2781    | 0.2852    | OK        | 
37      | 134      | 0.2788    | 0.2856    | OK        | 
38      | 134      | 0.2793    | 0.2863    | OK        | 
39      | 134      | 0.2797    | 0.2867    | OK        | 
40      | 134      | 0.2801    | 0.2871    | OK        | 
41      | 134      | 0.2805    | 0.2876    | OK        | 
