Training data:	MSLR-WEB10K/Fold1/restructure_train.txt
Test data:	MSLR-WEB10K/Fold1/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold1/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 0.03

Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]... [Done.]            
(5946 ranked lists, 72342 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]... [Done.]            
(1983 ranked lists, 23526 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]... [Done.]            
(1980 ranked lists, 24153 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | ERR@10-T  | ERR@10-V  | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1561         | 0.1336    | 0.1374    | 
2       | 0.1845         | 0.1373    | 0.1395    | 
3       | 0.1135         | 0.1287    | 0.131     | 
4       | 0.1556         | 0.1342    | 0.134     | 
5       | 0.1037         | 0.1335    | 0.1378    | 
6       | 0.0625         | 0.1287    | 0.1318    | 
7       | 0.1066         | 0.1313    | 0.136     | 
8       | 0.1132         | 0.1329    | 0.1384    | 
9       | 0.0732         | 0.1335    | 0.1346    | 
10      | 0.138          | 0.1298    | 0.1326    | 
11      | 0.067          | 0.1283    | 0.1312    | 
12      | 0.0157         | 0.1288    | 0.1324    | 
13      | 0.1489         | 0.1289    | 0.1333    | 
14      | 0.0468         | 0.128     | 0.1325    | 
15      | 0.0566         | 0.1281    | 0.1313    | 
16      | 0.0075         | 0.1296    | 0.1317    | 
17      | 0.015          | 0.13      | 0.1332    | 
18      | 0.0811         | 0.1297    | 0.1327    | 
19      | 0.0194         | 0.1281    | 0.132     | 
20      | 0.0172         | 0.1298    | 0.1331    | 
21      | 0.0813         | 0.1302    | 0.1315    | 
22      | 0.0212         | 0.1282    | 0.1322    | 
23      | 0.0434         | 0.1301    | 0.1326    | 
24      | 0.1052         | 0.1273    | 0.131     | 
25      | 0.0144         | 0.1282    | 0.1318    | 
26      | 0.012          | 0.1283    | 0.1317    | 
27      | 0.0102         | 0.1292    | 0.1322    | 
28      | 0.0116         | 0.1293    | 0.1323    | 
29      | 0.03           | 0.1295    | 0.1328    | 
30      | 0.088          | 0.1275    | 0.1315    | 
31      | 0.0129         | 0.1283    | 0.1318    | 
32      | 0.0097         | 0.1284    | 0.1317    | 
33      | 0.0088         | 0.1283    | 0.1316    | 
34      | 0.0085         | 0.1284    | 0.1314    | 
35      | 0.0069         | 0.1294    | 0.1313    | 
36      | 0.008          | 0.1291    | 0.1313    | 
37      | 0.0105         | 0.1292    | 0.1322    | 
38      | 0.0449         | 0.1292    | 0.1324    | 
39      | 0.0549         | 0.1281    | 0.1316    | 
40      | 0.0142         | 0.1284    | 0.1317    | 
41      | 0.0117         | 0.1284    | 0.1315    | 
42      | 0.0101         | 0.1294    | 0.1316    | 
43      | 0.012          | 0.1295    | 0.1332    | 
44      | 0.0903         | 0.1275    | 0.1307    | 
45      | 0.0127         | 0.129     | 0.1322    | 
46      | 0.058          | 0.1283    | 0.1314    | 
47      | 0.0336         | 0.1282    | 0.1317    | 
48      | 0.0191         | 0.1285    | 0.1324    | 
49      | 0.1197         | 0.1278    | 0.1316    | 
50      | 0.106          | 0.1332    | 0.1337    | 
51      | 0.0224         | 0.1283    | 0.1318    | 
52      | 0.0187         | 0.1299    | 0.1331    | 
53      | 0.1258         | 0.133     | 0.1363    | 
54      | 0.0926         | 0.1279    | 0.132     | 
55      | 0.018          | 0.1282    | 0.1319    | 
56      | 0.0139         | 0.1283    | 0.1322    | 
57      | 0.0185         | 0.1296    | 0.1326    | 
58      | 0.0887         | 0.1274    | 0.1319    | 
59      | 0.012          | 0.1287    | 0.1324    | 
60      | 0.0124         | 0.1293    | 0.1328    | 
61      | 0.1225         | 0.1338    | 0.1372    | 
62      | 0.127          | 0.1337    | 0.1365    | 
63      | 0.1205         | 0.1304    | 0.1344    | 
64      | 0.0166         | 0.1283    | 0.1318    | 
65      | 0.0152         | 0.1283    | 0.1317    | 
66      | 0.0139         | 0.1291    | 0.133     | 
67      | 0.0172         | 0.1294    | 0.1328    | 
68      | 0.0655         | 0.1293    | 0.1318    | 
69      | 0.0361         | 0.1282    | 0.132     | 
70      | 0.0242         | 0.1281    | 0.1317    | 
71      | 0.028          | 0.13      | 0.1332    | 
72      | 0.0849         | 0.1275    | 0.1315    | 
73      | 0.0246         | 0.1283    | 0.132     | 
74      | 0.0214         | 0.1282    | 0.132     | 
75      | 0.0224         | 0.1299    | 0.1336    | 
76      | 0.1456         | 0.1349    | 0.1354    | 
77      | 0.0272         | 0.1285    | 0.1325    | 
78      | 0.0207         | 0.1282    | 0.1318    | 
79      | 0.0187         | 0.1299    | 0.1333    | 
80      | 0.0305         | 0.1299    | 0.1336    | 
81      | 0.1339         | 0.1329    | 0.1365    | 
82      | 0.0237         | 0.1281    | 0.1319    | 
83      | 0.0158         | 0.1283    | 0.1318    | 
84      | 0.0138         | 0.1283    | 0.1318    | 
85      | 0.0132         | 0.1282    | 0.1317    | 
86      | 0.011          | 0.1292    | 0.1322    | 
87      | 0.0118         | 0.1291    | 0.1326    | 
88      | 0.0142         | 0.1294    | 0.133     | 
89      | 0.0221         | 0.1298    | 0.1335    | 
90      | 0.1278         | 0.1277    | 0.1318    | 
91      | 0.0268         | 0.1281    | 0.1318    | 
92      | 0.0849         | 0.1321    | 0.1342    | 
93      | 0.014          | 0.1283    | 0.1318    | 
94      | 0.0132         | 0.1282    | 0.1314    | 
95      | 0.0109         | 0.1292    | 0.1321    | 
96      | 0.0513         | 0.1264    | 0.1293    | 
97      | 0.0125         | 0.1293    | 0.1328    | 
98      | 0.0157         | 0.1295    | 0.1329    | 
99      | 0.0373         | 0.1291    | 0.1335    | 
100     | 0.0914         | 0.1279    | 0.132     | 
--------------------------------------------------
Finished sucessfully.
ERR@10 on training data: 0.1373
ERR@10 on validation data: 0.1395
---------------------------------
ERR@10 on test data: 0.1422
