
Discard orig. features
Training data:	MSLR-WEB10K/Fold1/restructure_train.txt
Test data:	MSLR-WEB10K/Fold1/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold1/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 0.1

Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]... [Done.]            
(5946 ranked lists, 72342 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]... [Done.]            
(1983 ranked lists, 23526 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]... [Done.]            
(1980 ranked lists, 24153 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | ERR@10-T  | ERR@10-V  | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1078         | 0.129     | 0.1321    | 
2       | 0.0715         | 0.131     | 0.1355    | 
3       | 0.1122         | 0.1286    | 0.1323    | 
4       | 0.0872         | 0.1275    | 0.1296    | 
5       | 0.0828         | 0.1269    | 0.1305    | 
6       | 0.1357         | 0.1263    | 0.1311    | 
7       | 0.1046         | 0.1265    | 0.1308    | 
8       | 0.1185         | 0.1281    | 0.1293    | 
9       | 0.1106         | 0.1266    | 0.1302    | 
10      | 0.1299         | 0.127     | 0.1299    | 
11      | 0.036          | 0.1278    | 0.1314    | 
12      | 0.1175         | 0.1313    | 0.1321    | 
13      | 0.1327         | 0.127     | 0.129     | 
14      | 0.0385         | 0.1278    | 0.1314    | 
15      | 0.0181         | 0.1293    | 0.132     | 
16      | 0.0738         | 0.1277    | 0.1308    | 
17      | 0.0076         | 0.1284    | 0.1317    | 
18      | 0.0061         | 0.1285    | 0.1317    | 
19      | 0.0049         | 0.1286    | 0.1317    | 
20      | 0.001          | 0.1284    | 0.1316    | 
21      | 0.1356         | 0.1263    | 0.1308    | 
22      | 0.0075         | 0.1284    | 0.1317    | 
23      | 0.0043         | 0.1286    | 0.1317    | 
24      | 0.0041         | 0.1285    | 0.1317    | 
25      | 0.0039         | 0.1285    | 0.1317    | 
26      | 0.0038         | 0.1285    | 0.1317    | 
27      | 0.0037         | 0.1285    | 0.1317    | 
28      | 0.0037         | 0.1285    | 0.1316    | 
29      | 0.0036         | 0.1284    | 0.1316    | 
30      | 0.0036         | 0.1284    | 0.1317    | 
31      | 0.0036         | 0.1284    | 0.1316    | 
32      | 0.0035         | 0.1284    | 0.1316    | 
33      | 0.0035         | 0.1284    | 0.1316    | 
34      | 0.0035         | 0.1284    | 0.1316    | 
35      | 0.0035         | 0.1284    | 0.1316    | 
36      | 0.0035         | 0.1284    | 0.1316    | 
37      | 0.0035         | 0.1284    | 0.1316    | 
38      | 0.0035         | 0.1284    | 0.1316    | 
39      | 0.0035         | 0.1284    | 0.1316    | 
40      | 0.0035         | 0.1284    | 0.1316    | 
41      | 0.0036         | 0.1284    | 0.1316    | 
42      | 0.0036         | 0.1284    | 0.1316    | 
43      | 0.0035         | 0.1284    | 0.1316    | 
44      | 0.0021         | 0.1285    | 0.1315    | 
45      | 0.0021         | 0.1285    | 0.1315    | 
46      | 0.0021         | 0.1285    | 0.1315    | 
47      | 0.0021         | 0.1285    | 0.1315    | 
48      | 0.0021         | 0.1285    | 0.1315    | 
49      | 0.0021         | 0.1285    | 0.1315    | 
50      | 0.0031         | 0.1286    | 0.1314    | 
51      | 0.0033         | 0.1288    | 0.1315    | 
52      | 0.0034         | 0.1288    | 0.1314    | 
53      | 0.0035         | 0.1288    | 0.1314    | 
54      | 0.0036         | 0.1288    | 0.1314    | 
55      | 0.0037         | 0.1289    | 0.1315    | 
56      | 0.0039         | 0.129     | 0.1314    | 
57      | 0.0042         | 0.1289    | 0.1314    | 
58      | 0.0046         | 0.1291    | 0.1314    | 
59      | 0.0052         | 0.1293    | 0.1312    | 
60      | 0.007          | 0.1295    | 0.1315    | 
61      | 0.031          | 0.129     | 0.1321    | 
62      | 0.055          | 0.1282    | 0.131     | 
63      | 0.047          | 0.127     | 0.1295    | 
64      | 0.0426         | 0.1294    | 0.1317    | 
65      | 0.0601         | 0.1282    | 0.1309    | 
66      | 0.0249         | 0.1283    | 0.1322    | 
67      | 0.0342         | 0.1282    | 0.1318    | 
68      | 0.0414         | 0.1282    | 0.1316    | 
69      | 0.0298         | 0.1282    | 0.1323    | 
70      | 0.0324         | 0.1295    | 0.1326    | 
71      | 0.034          | 0.1282    | 0.1317    | 
72      | 0.0283         | 0.1299    | 0.1333    | 
73      | 0.0398         | 0.1286    | 0.1312    | 
74      | 0.0334         | 0.129     | 0.1314    | 
75      | 0.0428         | 0.1289    | 0.1316    | 
76      | 0.105          | 0.1272    | 0.1301    | 
